Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
React: Building Progressive Web Apps (PWAs),"Single-page applications may be smooth, quick, and effective—but they disappear when the network connection drops. Progressive web apps (PWAs) work offline, enhancing resilience and allowing developers create seamless user experiences that feel like native apps. Learn how to build your own PWAs using React, the flexible front-end framework, in this course with Eve Porcello. Eve explains how to build the PWA component, fetch data, use Lighthouse to validate your app, and add offline capabilities to keep your app running even when the internet is down. Plus, learn how to install your app locally with browsers like Chrome and Safari for iOS.",Course,2024-12-21 02:11 UTC,N/A,false,N/A,
Architecting Big Data Applications: Batch Mode Application Engineering,"<p>Big data applications allow data scientists and analysts to acquire, store, manage, and use big data to generate more consistent, data-driven results. In this course, instructor Kumaran Ponnambalam explores real-world business use cases and best practices for architecting big data applications using existing open-source technologies.</p><p>Learn how to architect both simple and complex batch processing applications, as you discover the basic principles of big data architectures such as horizontal scaling, distributed processing, technology selection and integration, and scheduling. Kumaran shows you how to minimize data volumes and distribute data loads uniformly, as well as how to use caches, reprocess data, troubleshoot errors, and more. Along the way, take your new skills to the next level with hands-on use cases that cover a variety of functional and technology domains.</p>",Course,2024-12-28 02:43 UTC,N/A,false,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2024-09-28 16:07 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5913228,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:5913228,Course,2024-09-02 12:26 UTC,N/A,false,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2023-12-30 11:16 UTC,N/A,false,N/A,
Understanding the Impact of Deepfake Videos,"Imagine not being able to trust what you see or hear when you watch a video online. Deepfakes are manipulated media—video or audio—where a person has been replaced with someone else's likeness and made to appear as if they said or did something that never happened. Deepfake videos use artificial intelligence and can appear very convincing, even to a trained eye. When used to mislead audiences, deepfake videos can be disastrous. However, they can have useful benefits too—like offering AI-assisted video reshoots. In this introductory course, senior staff instructor Ashley Kennedy offers a useful introduction to the dangers and benefits of deepfake videos. She also provides a high-level overview of deepfake technology and puts forward some tools to identify deepfake videos, as well as suggestions for what to do when you suspect or spot a deepfake video.",Course,2021-02-01 11:10 UTC,N/A,false,N/A,
AWS Certified Solutions Architect - Professional (SAP-C02) Cert Prep: 4 Accelerate Workload Migration and Modernization,"The AWS Certified Solutions Architect certification helps organizations identify and develop talent with critical skills for implementing cloud initiatives. Earning AWS Certified Solutions Architect – Professional validates the ability to design, deploy, and evaluate applications on AWS within diverse, complex requirements. In this course, Noah Gift covers the topics in the fourth domain, Accelerate Workload Migration and Modernization. Noah details the knowledge you need to know for this section, including assessment and tracking tools, portfolio assessment, asset planning prioritization, migration of workloads, and more.",Course,2024-03-19 17:53 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-10-12 08:33 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2023-02-18 04:46 UTC,N/A,false,N/A,
Eleven Tips for the .NET Developer,"This course from Learn-it Labs offers a deep dive into advanced .NET development techniques aimed at improving your coding workflows and application performance. Join instructor Walt Ritscher as he shows you how to distribute your applications efficiently and effectively. Learn how to manage single file deployment, manipulate and flatten sequences with LINQ's SelectMany, extend the functionality of the DateOnly type, transform data into more readable formats, return read-only collections safely, construct path strings for Linux and Windows, create fake data for testing, and more. Additionally, you'll learn to implement a version endpoint for web APIs, count Unicode characters correctly, and determine shared key values with LINQ's ToLookup method. By the end of this course, you will have mastered practical techniques to enhance your .NET applications and data manipulation methods.",Course,2025-02-13 12:11 UTC,N/A,false,N/A,
